nom_demande	verdict	cle_ou_accepte	note
Aphelandra squarrosa	COLLECTEE		dans plants.csv, entraînée v8, exportable
Crossandra infundibuliformis	COLLECTEE		dans plants.csv, entraînée v8, exportable
Ruellia makoyana	A_COLLECTER	8029019	espèce acceptée, clé GBIF
Hemigraphis alternata	SYNONYME	SYNONYME-> [8297383]	résoudre vers le nom accepté avant collecte
Justicia brandegeeana	COLLECTEE		dans plants.csv, entraînée v8, exportable
Barleria cristata	COLLECTEE		dans plants.csv, entraînée v8, exportable
Strelitzia reginae	EXPOSEE		déjà servie par Iris 8
Strelitzia nicolai	EXPOSEE		déjà servie par Iris 8
Ravenala madagascariensis	COLLECTEE		dans plants.csv, entraînée v8, exportable
Musa acuminata	EXPOSEE		déjà servie par Iris 8
Musa basjoo	EXPOSEE		déjà servie par Iris 8
Musa velutina	COLLECTEE		dans plants.csv, entraînée v8, exportable
Ensete ventricosum	COLLECTEE		dans plants.csv, entraînée v8, exportable
Canna indica	EXPOSEE		déjà servie par Iris 8
Calathea allouia	SYNONYME	SYNONYME-> [8107795]	résoudre vers le nom accepté avant collecte
Alpinia zerumbet	COLLECTEE		dans plants.csv, entraînée v8, exportable
Zingiber officinale	EXPOSEE		déjà servie par Iris 8
Curcuma longa	EXPOSEE		déjà servie par Iris 8
Hedychium coronarium	COLLECTEE		dans plants.csv, entraînée v8, exportable
Etlingera elatior	COLLECTEE		dans plants.csv, entraînée v8, exportable
Costus woodenii	A_COLLECTER	2756950	espèce acceptée, clé GBIF
Dionaea muscipula	EXPOSEE		déjà servie par Iris 8
Drosera capensis	COLLECTEE		dans plants.csv, entraînée v8, exportable
Drosera rotundifolia	A_COLLECTER	3191030	espèce acceptée, clé GBIF
Nepenthes alata	A_COLLECTER	3702270	espèce acceptée, clé GBIF
Nepenthes ventricosa	A_COLLECTER	3702158	espèce acceptée, clé GBIF
Sarracenia purpurea	COLLECTEE		dans plants.csv, entraînée v8, exportable
Sarracenia leucophylla	COLLECTEE		dans plants.csv, entraînée v8, exportable
Pinguicula moranensis	A_COLLECTER	7297919	espèce acceptée, clé GBIF
Cephalotus follicularis	EXPOSEE		déjà servie par Iris 8
Utricularia sandersonii	A_COLLECTER	4088290	espèce acceptée, clé GBIF
Clivia miniata	EXPOSEE		déjà servie par Iris 8
Hippeastrum hortorum	A_COLLECTER	7351546	espèce acceptée, clé GBIF
Eucharis amazonica	SYNONYME	SYNONYME-> [10989209]	résoudre vers le nom accepté avant collecte
Haemanthus katharinae	SYNONYME	SYNONYME-> [2860679]	résoudre vers le nom accepté avant collecte
Cryptostephanus vansonii	A_COLLECTER	2860347	espèce acceptée, clé GBIF
Agapanthus africanus	EXPOSEE		déjà servie par Iris 8
Cyrtanthus elatus	COLLECTEE		dans plants.csv, entraînée v8, exportable
Zephyranthes carinata	COLLECTEE		dans plants.csv, entraînée v8, exportable
Crinum asiaticum	COLLECTEE		dans plants.csv, entraînée v8, exportable
Sprekelia formosissima	A_COLLECTER	2860360	espèce acceptée, clé GBIF
Nerine bowdenii	COLLECTEE		dans plants.csv, entraînée v8, exportable
Lilium longiflorum	COLLECTEE		dans plants.csv, entraînée v8, exportable
Tulipa gesneriana	EXPOSEE		déjà servie par Iris 8
Hyacinthus orientalis	EXPOSEE		déjà servie par Iris 8
Muscari armeniacum	EXPOSEE		déjà servie par Iris 8
Narcissus tazzetta	A_COLLECTER	2858963	espèce acceptée, clé GBIF
Cyclamen coum	COLLECTEE		dans plants.csv, entraînée v8, exportable
Convallaria majalis	EXPOSEE		déjà servie par Iris 8
Gloriosa superba	COLLECTEE		dans plants.csv, entraînée v8, exportable
Bowiea volubilis	A_COLLECTER	7386178	espèce acceptée, clé GBIF
Dioscorea elephantipes	A_COLLECTER	2755523	espèce acceptée, clé GBIF
Stephania erecta	SYNONYME	SYNONYME-> [5592774]	résoudre vers le nom accepté avant collecte
Stephania suberosa	A_COLLECTER	5592748	espèce acceptée, clé GBIF
Stephania pierrei	A_COLLECTER	5592774	espèce acceptée, clé GBIF
Phyllanthus mirabilis	A_COLLECTER	5381921	espèce acceptée, clé GBIF
Adenia spinosa	A_COLLECTER	5527612	espèce acceptée, clé GBIF
Jatropha podagrica	COLLECTEE		dans plants.csv, entraînée v8, exportable
Jatropha multifida	COLLECTEE		dans plants.csv, entraînée v8, exportable
Monadenium ritchiei	SYNONYME	SYNONYME-> [3067621]	résoudre vers le nom accepté avant collecte
Synadenium grantii	SYNONYME	SYNONYME-> [3070438]	résoudre vers le nom accepté avant collecte
Pedilanthus tithymaloides	SYNONYME	SYNONYME-> [3069168]	résoudre vers le nom accepté avant collecte
Euphorbia tirucalli rosea	COLLECTEE		dans plants.csv, entraînée v8, exportable
Euphorbia leuconeura	COLLECTEE		dans plants.csv, entraînée v8, exportable
Pilea grandolis	SYNONYME	SYNONYME-> [5361822]	résoudre vers le nom accepté avant collecte
Pilea glaucophylla	SYNONYME	SYNONYME-> [5670242]	résoudre vers le nom accepté avant collecte
Pilea nummulariifolia	COLLECTEE		dans plants.csv, entraînée v8, exportable
Elatostema repens	SYNONYME	SYNONYME-> [7916114]	résoudre vers le nom accepté avant collecte
Peperomia rotundifolia	COLLECTEE		dans plants.csv, entraînée v8, exportable
Peperomia serpens	COLLECTEE		dans plants.csv, entraînée v8, exportable
Peperomia maculosa	A_COLLECTER	3086368	espèce acceptée, clé GBIF
Peperomia metallica	A_COLLECTER	4184843	espèce acceptée, clé GBIF
Peperomia incana	A_COLLECTER	8049505	espèce acceptée, clé GBIF
Peperomia fraseri	A_COLLECTER	7305086	espèce acceptée, clé GBIF
Begonia conchifolia	A_COLLECTER	7303439	espèce acceptée, clé GBIF
Begonia foliosa	COLLECTEE		dans plants.csv, entraînée v8, exportable
Begonia nelumbiifolia	COLLECTEE		dans plants.csv, entraînée v8, exportable
Begonia goegoensis	A_COLLECTER	4157921	espèce acceptée, clé GBIF
Begonia serratipetala	A_COLLECTER	4157972	espèce acceptée, clé GBIF
Calathea metallica	A_COLLECTER	7722597	espèce acceptée, clé GBIF
Calathea lindeniana	A_COLLECTER	9546997	espèce acceptée, clé GBIF
Calathea louisae	SYNONYME	SYNONYME-> [9431418]	résoudre vers le nom accepté avant collecte
Calathea ecuadoriana	SYNONYME	SYNONYME-> [9296883]	résoudre vers le nom accepté avant collecte
Calathea chimboracensis	SYNONYME	SYNONYME-> [9355492]	résoudre vers le nom accepté avant collecte
Schismatoglottis calyptrata	A_COLLECTER	2867982	espèce acceptée, clé GBIF
Schismatoglottis wallichii	A_COLLECTER	2868039	espèce acceptée, clé GBIF
Homalomena rubescens	A_COLLECTER	2868726	espèce acceptée, clé GBIF
Homalomena wallisii	SYNONYME	SYNONYME-> [9255776]	résoudre vers le nom accepté avant collecte
Bucephalandra pygmaea	A_COLLECTER	9524399	espèce acceptée, clé GBIF
Cryptocoryne wendtii	A_COLLECTER	2869214	espèce acceptée, clé GBIF
Anubias barteri	A_COLLECTER	2871871	espèce acceptée, clé GBIF
Rhaphidophora tetrasperma	COLLECTEE		dans plants.csv, entraînée v8, exportable
Rhaphidophora decursiva	A_COLLECTER	5329707	espèce acceptée, clé GBIF
Rhaphidophora cryptantha	A_COLLECTER	5329650	espèce acceptée, clé GBIF
Rhaphidophora hayi	A_COLLECTER	5329786	espèce acceptée, clé GBIF
Amydrium medium	A_COLLECTER	2870238	espèce acceptée, clé GBIF
Amydrium zippelianum	A_COLLECTER	2870249	espèce acceptée, clé GBIF
Lasia spinosa	A_COLLECTER	5330870	espèce acceptée, clé GBIF
Cyrtosperma johnstonii	A_COLLECTER	2871907	espèce acceptée, clé GBIF
Anadendrum microstachyum	A_COLLECTER	2870564	espèce acceptée, clé GBIF
Pothos chinensis	A_COLLECTER	5330311	espèce acceptée, clé GBIF
Pothos scandens	A_COLLECTER	5330394	espèce acceptée, clé GBIF
Remusatia vivipara	A_COLLECTER	2871956	espèce acceptée, clé GBIF
Typhonium blumei	A_COLLECTER	2869495	espèce acceptée, clé GBIF
Pinanga coronata	COLLECTEE		dans plants.csv, entraînée v8, exportable
Chamaedorea metallica	A_COLLECTER	2734536	espèce acceptée, clé GBIF
Chamaedorea microspadix	A_COLLECTER	2734713	espèce acceptée, clé GBIF
Chamaedorea radicalis	A_COLLECTER	2734396	espèce acceptée, clé GBIF
Geonoma epetiolata	A_COLLECTER	2734364	espèce acceptée, clé GBIF
Iguanura wallichiana	A_COLLECTER	7933984	espèce acceptée, clé GBIF
Kerriodoxa elegans	A_COLLECTER	2732373	espèce acceptée, clé GBIF
Aiphanes horrida	A_COLLECTER	2738639	espèce acceptée, clé GBIF
Bismarckia nobilis	COLLECTEE		dans plants.csv, entraînée v8, exportable
Trachycarpus fortunei	EXPOSEE		déjà servie par Iris 8
Washingtonia robusta	EXPOSEE		déjà servie par Iris 8
Chamaerops humilis	EXPOSEE		déjà servie par Iris 8
Brahea armata	COLLECTEE		dans plants.csv, entraînée v8, exportable
Pachypodium saundersii	COLLECTEE		dans plants.csv, entraînée v8, exportable
Pachypodium geayi	A_COLLECTER	5535488	espèce acceptée, clé GBIF
Pachypodium brevicaule	A_COLLECTER	7155422	espèce acceptée, clé GBIF
Euphorbia abdelkuri	A_COLLECTER	3069740	espèce acceptée, clé GBIF
Euphorbia ambovombensis	A_COLLECTER	3065816	espèce acceptée, clé GBIF
Euphorbia francoisii	SYNONYME	SYNONYME-> [3068908]	résoudre vers le nom accepté avant collecte
Euphorbia decaryi	A_COLLECTER	3068904	espèce acceptée, clé GBIF
Euphorbia cylindrifolia	A_COLLECTER	3070377	espèce acceptée, clé GBIF
Euphorbia suzannae	A_COLLECTER	3067906	espèce acceptée, clé GBIF
